date,original_18_no_rules,original_18_active,original_18_total_wealth,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,spy_benchmark
2017-04-19,376.1901371235399,266.500418593316,344.328894256568,401.31417476211567,282.8889690693592,350.07600330722,490.8364983471769,234.92738745872632,412.4130104360587,238.7182672570159
2017-04-20,378.49858695941646,268.13576940890835,345.96424507216034,404.81858887678067,285.35925334645293,352.54628758431375,495.83209668067093,237.31841353203762,414.80403650937,240.66120938838526
2017-04-21,378.0364233313602,267.80836369519835,345.63683935845035,405.16166623713116,285.60109080668747,352.7881250445483,495.73853858083436,237.27363414003187,414.7592571173643,239.89426899183718
2017-04-24,381.7980431938453,270.473168454851,348.301644118103,408.3954150420799,287.8805813484892,355.06761558635003,500.2988570386581,239.45632370139077,416.9419466787232,242.53260096548144
2017-04-25,383.1067067269194,271.4002511849534,349.2287268482054,413.2666717510949,291.31436185051683,358.50139608837765,504.88921796078085,241.65339238425827,419.1390153615907,243.943803047267
2017-04-26,383.1575352704732,271.4362591149782,349.2647347782302,412.7877534799562,290.97676924972916,358.16380348759,504.43065655835136,241.43391271511197,418.91953569244436,243.7904546581287
2017-04-27,383.60308822680423,271.7518975053827,349.5803731686347,413.9210353091641,291.77562697390425,358.96266121176507,506.832786049338,242.58363570342954,420.06925868076195,243.9949312043044
2017-04-28,383.1702703241821,271.4452808750121,349.2737565382641,412.031910265022,290.4439704569192,357.63100469478,505.13918849143647,241.77303492083885,419.25865789817124,243.4632272366945
2017-05-01,385.51625897407956,273.1072249174406,350.9357005806926,414.38084104499967,292.09974702438547,359.2867812622463,507.67363783247316,242.9860897045422,420.4717126818746,244.07674708015645
2017-05-02,383.4584418132327,271.6494271693457,349.4779028325977,405.2429797817509,285.6584092525722,352.845443490433,504.61373425391594,241.52153856377188,419.0071615411043,244.16875611363946
2017-05-03,382.08994402659704,270.6799566888832,348.5084323521352,404.3833811587766,285.052472598551,352.2395068364118,503.29759082118306,240.8915973527697,418.3772203301021,243.87221641101985
2017-05-04,380.23499850508347,269.36587716055993,347.1943528238119,402.64925475341414,283.83007562904515,351.01710986690597,505.20411870637184,241.8041122466149,419.28973522394733,244.15850883304762
2017-05-05,380.96430292610415,269.8825306139708,347.7110062772228,403.4457231530719,284.3915113785027,351.5785456163635,504.95979286626897,241.68717140888725,419.17279438621966,245.1197687001144
2017-05-08,381.20753160472503,270.0548385462361,347.8833142094881,403.21488620907434,284.2287929169649,351.4158271548257,504.2387164660957,241.34204508796105,418.82766806529344,245.07886978268186
2017-05-09,381.5001566655016,270.26213983750375,348.09061550075575,403.3860462082289,284.3494447123704,351.53647895023124,503.40586329475445,240.9434194349406,418.429042412273,244.8539167163094
2017-05-10,391.7921221065552,277.55316856877533,355.3816442320273,416.62916162015654,293.68460280482367,360.8716370426845,523.0223892767278,250.3324098940437,427.8180328713761,245.2936477324103
2017-05-11,394.6137475962553,279.5520630104754,357.3805386737274,421.80478191527806,297.3329311761035,364.5199654139643,528.8850935910947,253.13845592496256,430.62407890229497,244.79259540164108
2017-05-12,396.70141596337817,281.0310079343812,358.8594835976332,424.62122590612995,299.31826084328003,366.50529508114084,529.8064683634484,253.5794503678541,431.06507334518653,244.3835340633679
2017-05-15,401.3826600868365,284.347292428117,362.175768091369,433.1609114601347,305.33794067138695,372.52497490924776,541.303609836492,259.0822877049322,436.5679106822646,245.73337874851114
2017-05-16,404.00172691252334,286.2026903678567,364.0311660311087,439.47930072236784,309.79181431198674,376.97884854984756,541.4109870320221,259.133681283249,436.61930426058143,245.5084076411518
2017-05-17,396.3328132018737,280.76988256042347,358.59835822367546,428.14009355220753,301.7987335085689,368.9857677464297,531.3568106000096,254.32148534799256,431.807108325325,241.15212268448443
2017-05-18,399.26344523834666,282.8459993625143,360.6744750257663,431.9784652648294,304.5044266661361,371.6914609039969,539.9191240726918,258.41963603872847,435.9052590160609,242.12355766819522
2017-05-19,401.8706331972657,284.69298208172154,362.52145774497353,435.3512798040256,306.8819455474986,374.06897978535943,544.0443275181731,260.39406799610333,437.87969097343574,243.69839150168485
2017-05-22,404.22157150790935,286.35843256020615,364.18690822345815,436.81537259879224,307.91399407052654,375.10102830838736,549.3885137447423,262.9519374954754,440.43756047280783,244.93571455117453
2017-05-23,403.4555749726642,285.8157856985825,363.6442613618345,435.7926156324146,307.19304604022443,374.38008027808525,548.6684763515259,262.6073084708806,440.092931448213,245.47773796332413
2017-05-24,405.2107014026868,287.05915143874176,364.88762710199376,437.0445372121429,308.07553369532644,375.26256793318726,550.3316610906523,263.40335287047174,440.88897584780415,246.05043105330137
