date,original_18_no_rules,original_18_active,original_18_total_wealth,original_18_sign_changes,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_standard_sign_changes,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,optimal_ethical_sign_changes,spy_benchmark
2012-04-23,134.15275100579336,134.15275100579336,134.15275100579336,0,137.02339534188695,137.02339534188695,137.02339534188695,0,107.40210631504453,107.40210631504453,107.40210631504453,0,126.20264783861839
2012-04-24,134.01178638249348,134.01178638249348,134.01178638249348,0,136.62472802589636,136.62472802589636,136.62472802589636,0,107.02489655172803,107.02489655172803,107.02489655172803,0,126.68245673412069
2012-04-25,136.01290842292627,136.01290842292627,136.01290842292627,0,139.2251142501579,139.2251142501579,139.2251142501579,0,107.87912529448023,107.87912529448023,107.87912529448023,0,128.4169256148727
2012-04-26,136.64582359419236,136.64582359419236,136.64582359419236,0,139.99102928146976,139.99102928146976,139.99102928146976,0,107.7827689793368,107.7827689793368,107.7827689793368,0,129.3118394295009
2012-04-27,137.73754182207247,137.73754182207247,137.73754182207247,0,141.64820771198723,141.64820771198723,141.64820771198723,0,106.52030579377306,106.52030579377306,106.52030579377306,0,129.52403744152917
2012-04-30,137.41156709238982,137.41156709238982,137.41156709238982,0,140.79676882624432,140.79676882624432,140.79676882624432,0,106.64217859082547,106.64217859082547,106.64217859082547,0,129.04429168945845
2012-05-01,137.88454772431564,137.88454772431564,137.88454772431564,0,141.02256003983496,141.02256003983496,141.02256003983496,0,107.61991982746433,107.61991982746433,107.61991982746433,0,129.84698001203694
2012-05-02,137.44937504568676,137.44937504568676,137.44937504568676,0,141.0144198267535,141.0144198267535,141.0144198267535,0,106.85264607300064,106.85264607300064,106.85264607300064,0,129.4594958339768
2012-05-03,136.43894187493504,136.43894187493504,136.43894187493504,0,138.78850300843888,138.78850300843888,138.78850300843888,0,105.91549415783184,105.91549415783184,105.91549415783184,0,128.47225730190644
2012-05-04,134.3238224756792,134.3238224756792,134.3238224756792,0,136.6152171098858,136.6152171098858,136.6152171098858,0,104.17057368594526,104.17057368594526,104.17057368594526,0,126.3964440505898
2012-05-07,134.82668307671645,134.82668307671645,134.82668307671645,0,136.8580257562335,136.8580257562335,136.8580257562335,0,104.64878665420099,104.64878665420099,104.64878665420099,0,126.48866052214926
2012-05-08,133.7658015802745,133.7658015802745,133.7658015802745,0,136.84834142276472,136.84834142276472,136.84834142276472,0,104.47288880388963,104.47288880388963,104.47288880388963,0,125.98127598803232
2012-05-09,133.10183073663097,133.10183073663097,133.10183073663097,0,136.2932046028132,136.2932046028132,136.2932046028132,0,104.45331818119877,104.45331818119877,104.45331818119877,0,125.23394641395824
2012-05-10,134.05914169643106,134.05914169643106,134.05914169643106,0,136.73467970703257,136.73467970703257,136.73467970703257,0,104.52635749635776,104.52635749635776,104.52635749635776,0,125.49225717201136
2012-05-11,133.46525830409658,133.46525830409658,133.46525830409658,0,137.71626064092015,137.71626064092015,137.71626064092015,0,105.0365936741701,105.0365936741701,105.0365936741701,0,125.11400095545034
2012-05-14,131.59076845715208,131.59076845715208,131.59076845715208,0,136.8040004831484,136.8040004831484,136.8040004831484,0,104.01811493935703,104.01811493935703,104.01811493935703,0,123.73007734529138
2012-05-15,131.12987690720016,131.12987690720016,131.12987690720016,0,135.856567749126,135.856567749126,135.856567749126,0,103.26937369047297,103.26937369047297,103.26937369047297,0,123.01966863770393
2012-05-16,130.59436486430567,130.59436486430567,130.59436486430567,0,135.24283342371206,135.24283342371206,135.24283342371206,0,102.30402096148364,102.30402096148364,102.30402096148364,0,122.54917790860296
2012-05-17,129.3006300355795,129.3006300355795,129.3006300355795,0,133.24192516968952,133.24192516968952,133.24192516968952,0,102.04035842392231,102.04035842392231,102.04035842392231,0,120.731657374359
2012-05-18,127.82923855095416,127.82923855095416,127.82923855095416,0,131.99820767048539,131.99820767048539,131.99820767048539,0,100.23892636189565,100.23892636189565,100.23892636189565,0,119.69834217822468
2012-05-21,128.9123471881611,128.9123471881611,128.9123471881611,0,134.1368714769122,134.1368714769122,134.1368714769122,0,101.61787301033897,101.61787301033897,101.61787301033897,0,121.75576264997467
2012-05-22,128.30473744269685,128.30473744269685,128.30473744269685,0,134.37546109814764,134.37546109814764,134.37546109814764,0,101.77049259348861,101.77049259348861,101.77049259348861,0,121.96789751857138
2012-05-23,128.85607107062268,128.85607107062268,128.85607107062268,0,134.93437447313326,134.93437447313326,134.93437447313326,0,101.83337215731483,101.83337215731483,101.83337215731483,0,122.03251129004555
2012-05-24,128.40488405727052,128.40488405727052,128.40488405727052,0,134.57394634050664,134.57394634050664,134.57394634050664,0,101.73835045171461,101.73835045171461,101.73835045171461,0,122.27240220706139
2012-05-25,127.78732429991915,127.78732429991915,127.78732429991915,0,134.8531552589953,134.8531552589953,134.8531552589953,0,101.86374633139829,101.86374633139829,101.86374633139829,0,121.87565398554123
2012-05-29,128.45122601633045,128.45122601633045,128.45122601633045,0,136.81493287049722,136.81493287049722,136.81493287049722,0,102.71348591129063,102.71348591129063,102.71348591129063,0,123.35183014922055
2012-05-30,126.96389050756207,126.96389050756207,126.96389050756207,0,135.44648726294528,135.44648726294528,135.44648726294528,0,101.09023268236122,101.09023268236122,101.09023268236122,0,121.56199349947391
2012-05-31,127.04288694179992,127.04288694179992,127.04288694179992,0,134.71194444658627,134.71194444658627,134.71194444658627,0,99.67435311776319,99.67435311776319,99.67435311776319,0,121.29443673894124
2012-06-01,124.56614661621876,124.56614661621876,124.56614661621876,0,130.56474374925875,130.56474374925875,130.56474374925875,0,96.39904454718702,96.39904454718702,96.39904454718702,0,118.24061291705334
2012-06-04,124.43382844535515,124.43382844535515,124.43382844535515,0,130.47643999820895,130.47643999820895,130.47643999820895,0,95.43975605785478,95.43975605785478,95.43975605785478,0,118.18526318903918
2012-06-05,124.40305375087624,124.40305375087624,124.40305375087624,0,131.64466712319742,131.64466712319742,131.64466712319742,0,96.5054151361322,96.5054151361322,96.5054151361322,0,119.08022210611848
2012-06-06,126.94840919555098,126.94840919555098,126.94840919555098,0,133.96625891445566,133.96625891445566,133.96625891445566,0,99.85983936807227,99.85983936807227,99.85983936807227,0,121.75576264997467
2012-06-07,126.32034035588097,126.32034035588097,126.32034035588097,0,134.0050036357035,134.0050036357035,134.0050036357035,0,99.33593376378049,99.33593376378049,99.33593376378049,0,121.82953221902618
2012-06-08,127.48509233713769,127.48509233713769,127.48509233713769,0,135.26576679903917,135.26576679903917,135.26576679903917,0,100.51128847134336,100.51128847134336,100.51128847134336,0,122.79827874613743
2012-06-11,126.03865295981129,126.03865295981129,126.03865295981129,0,133.96949485149932,133.96949485149932,133.96949485149932,0,98.7877462225436,98.7877462225436,98.7877462225436,0,121.2390689699466
2012-06-12,127.34813364987367,127.34813364987367,127.34813364987367,0,135.13961577537737,135.13961577537737,135.13961577537737,0,101.13468869140287,101.13468869140287,101.13468869140287,0,122.63217543915354
2012-06-13,127.06554587069968,127.06554587069968,127.06554587069968,0,133.9819294981211,133.9819294981211,133.9819294981211,0,100.21579587422416,100.21579587422416,100.21579587422416,0,121.84801520349504
2012-06-14,127.7712554896327,127.7712554896327,127.7712554896327,0,133.96291579641044,133.96291579641044,133.96291579641044,0,100.73859553775955,100.73859553775955,100.73859553775955,0,123.13962311670205
2012-06-15,129.5622047720498,129.5622047720498,129.5622047720498,0,135.3214001688044,135.3214001688044,135.3214001688044,0,101.55735468459211,101.55735468459211,101.55735468459211,0,124.39902787980954
2012-06-18,130.8118836531355,130.8118836531355,130.8118836531355,0,136.29408110528868,136.29408110528868,136.29408110528868,0,102.03617327470201,102.03617327470201,102.03617327470201,0,124.64013656300558
2012-06-19,132.52043362419738,132.52043362419738,132.52043362419738,0,137.82023003944758,137.82023003944758,137.82023003944758,0,103.794483303516,103.794483303516,103.794483303516,0,125.8457341019272
2012-06-20,133.07553346973728,133.07553346973728,133.07553346973728,0,137.51542797863476,137.51542797863476,137.51542797863476,0,103.33191040807364,103.33191040807364,103.33191040807364,0,125.64170865404182
2012-06-21,130.3027675454818,130.3027675454818,130.3027675454818,0,135.14666576802108,135.14666576802108,135.14666576802108,0,101.70020209454903,101.70020209454903,101.70020209454903,0,122.82248974189851
2012-06-22,131.69058215492527,131.69058215492527,131.69058215492527,0,135.88249233744222,135.88249233744222,135.88249233744222,0,102.84466826779578,102.84466826779578,102.84466826779578,0,123.7684234492334
2012-06-25,130.01554833322737,130.01554833322737,130.01554833322737,0,134.13093345145924,134.13093345145924,134.13093345145924,0,101.05207167593625,101.05207167593625,101.05207167593625,0,121.78380735408095
2012-06-26,130.6289114912135,130.6289114912135,130.6289114912135,0,134.75979263574126,134.75979263574126,134.75979263574126,0,100.86244897248234,100.86244897248234,100.86244897248234,0,122.39585663626642
2012-06-27,131.51028418810034,131.51028418810034,131.51028418810034,0,135.82867796676769,135.82867796676769,135.82867796676769,0,101.59817729064117,101.59817729064117,101.59817729064117,0,123.49945949222578
2012-06-28,130.47346202803317,130.47346202803317,130.47346202803317,0,135.71879791580255,135.71879791580255,135.71879791580255,0,102.01050378984998,102.01050378984998,102.01050378984998,0,123.14706502113681
2012-06-29,133.15230018824073,133.15230018824073,133.15230018824073,0,138.44110638431158,138.44110638431158,138.44110638431158,0,104.32388259327972,104.32388259327972,104.32388259327972,0,126.21671980336775
2012-07-02,133.13421171311663,133.13421171311663,133.13421171311663,0,137.2361505416747,137.2361505416747,137.2361505416747,0,103.45436580334521,103.45436580334521,103.45436580334521,0,126.59692444581717
2012-07-03,134.38913511048557,134.38913511048557,134.38913511048557,0,138.07183105478717,138.07183105478717,138.07183105478717,0,103.93870143155237,103.93870143155237,103.93870143155237,0,127.4315633447689
2012-07-05,134.02347463996085,134.02347463996085,134.02347463996085,0,138.2543392315951,138.2543392315951,138.2543392315951,0,104.07609124345781,104.07609124345781,104.07609124345781,0,126.85658827740389
2012-07-06,132.78945101964493,132.78945101964493,132.78945101964493,0,136.3687021329533,136.3687021329533,136.3687021329533,0,102.70503517826488,102.70503517826488,102.70503517826488,0,125.65095465652138
2012-07-09,133.04213728409042,133.04213728409042,133.04213728409042,0,135.16492472114888,135.16492472114888,135.16492472114888,0,101.87480628572578,101.87480628572578,101.87480628572578,0,125.49333963083824
2012-07-10,131.8214763876052,131.8214763876052,131.8214763876052,0,133.99060885952963,133.99060885952963,133.99060885952963,0,100.63996042217708,100.63996042217708,100.63996042217708,0,124.39902787980954
2012-07-11,131.66915903474558,131.66915903474558,131.66915903474558,0,132.41462462272332,132.41462462272332,132.41462462272332,0,99.47441769618683,99.47441769618683,99.47441769618683,0,124.41756498721976
2012-07-12,131.0698566727625,131.0698566727625,131.0698566727625,0,131.5858395800724,131.5858395800724,131.5858395800724,0,98.65532243381809,98.65532243381809,98.65532243381809,0,123.81478876898453
2012-07-13,133.20485141275765,133.20485141275765,133.20485141275765,0,133.2053871128583,133.2053871128583,133.2053871128583,0,100.39540819373886,100.39540819373886,100.39540819373886,0,125.89207236020765
2012-07-16,132.77572424409465,132.77572424409465,132.77572424409465,0,132.87114295076293,132.87114295076293,132.87114295076293,0,100.82971295837743,100.82971295837743,100.82971295837743,0,125.59530725232982
2012-07-17,132.3941472087294,132.3941472087294,132.3941472087294,0,133.41354644958162,133.41354644958162,133.41354644958162,0,101.03686989831753,101.03686989831753,101.03686989831753,0,126.45779240460291
2012-07-18,133.42129813573848,133.42129813573848,133.42129813573848,0,135.47344466426068,135.47344466426068,135.47344466426068,0,102.71644172470963,102.71644172470963,102.71644172470963,0,127.3944620684778
2012-07-19,134.34924763796087,134.34924763796087,134.34924763796087,0,136.94088282093196,136.94088282093196,136.94088282093196,0,103.08732782466485,103.08732782466485,103.08732782466485,0,127.72832845264676
2012-07-20,133.41738087923048,133.41738087923048,133.41738087923048,0,136.10296936203505,136.10296936203505,136.10296936203505,0,102.78615453305241,102.78615453305241,102.78615453305241,0,126.55982316952603
2012-07-23,132.33814276265022,132.33814276265022,132.33814276265022,0,134.33538257306668,134.33538257306668,134.33538257306668,0,101.2996176252901,101.2996176252901,101.2996176252901,0,125.28003209851242
2012-07-24,131.46925775208038,131.46925775208038,131.46925775208038,0,133.46210816104826,133.46210816104826,133.46210816104826,0,100.07707722016302,100.07707722016302,100.07707722016302,0,124.20427549587438
2012-07-25,131.4202480659677,131.4202480659677,131.4202480659677,0,133.50253120118913,133.50253120118913,133.50253120118913,0,99.96300086678482,99.96300086678482,99.96300086678482,0,124.23211272870552
2012-07-26,131.86188774660368,131.86188774660368,131.86188774660368,0,135.4487630020542,135.4487630020542,135.4487630020542,0,100.95779476468138,100.95779476468138,100.95779476468138,0,126.2816222305291
2012-07-27,133.65476925108013,133.65476925108013,133.65476925108013,0,138.87671768074176,138.87671768074176,138.87671768074176,0,103.41986316488968,103.41986316488968,103.41986316488968,0,128.6092875688985
2012-07-30,132.7848588335403,132.7848588335403,132.7848588335403,0,138.3657464917239,138.3657464917239,138.3657464917239,0,103.5125428194887,103.5125428194887,103.5125428194887,0,128.6092875688985
2012-07-31,132.20891141195344,132.20891141195344,132.20891141195344,0,139.46682473280967,139.46682473280967,139.46682473280967,0,104.77812504351655,104.77812504351655,104.77812504351655,0,127.70980036572676
2012-08-01,131.34064279873505,131.34064279873505,131.34064279873505,0,138.20954168493728,138.20954168493728,138.20954168493728,0,103.38739337449638,103.38739337449638,103.38739337449638,0,127.59846947538271
2012-08-02,130.22483124928544,130.22483124928544,130.22483124928544,0,139.18243402195114,139.18243402195114,139.18243402195114,0,105.85098689701553,105.85098689701553,105.85098689701553,0,126.71746525667986
2012-08-03,132.7945274852222,132.7945274852222,132.7945274852222,0,141.1876458090931,141.1876458090931,141.1876458090931,0,107.05982648337053,107.05982648337053,107.05982648337053,0,129.23066403797554
2012-08-06,133.8939648588916,133.8939648588916,133.8939648588916,0,141.1557189182429,141.1557189182429,141.1557189182429,0,108.31738465417176,108.31738465417176,108.31738465417176,0,129.4810728465925
2012-08-07,134.4236178006712,134.4236178006712,134.4236178006712,0,141.9046396526604,141.9046396526604,141.9046396526604,0,109.43118821428338,109.43118821428338,109.43118821428338,0,130.13025948702997
2012-08-08,134.18865792161498,134.18865792161498,134.18865792161498,0,141.74192000822538,141.74192000822538,141.74192000822538,0,107.83564165184973,107.83564165184973,107.83564165184973,0,130.28791059467403
2012-08-09,134.8319301910881,134.8319301910881,134.8319301910881,0,142.78301971962685,142.78301971962685,142.78301971962685,0,109.31502531396772,109.31502531396772,109.31502531396772,0,130.39920540305715
2012-08-10,135.31108160653082,135.31108160653082,135.31108160653082,0,143.7706964002375,143.7706964002375,143.7706964002375,0,110.15642716984293,110.15642716984293,110.15642716984293,0,130.6124497919514
2012-08-13,135.6653810578795,135.6653810578795,135.6653810578795,0,143.5614045312351,143.5614045312351,143.5614045312351,0,109.04941076167106,109.04941076167106,109.04941076167106,0,130.54754736479006
2012-08-14,134.73083937438815,134.73083937438815,134.73083937438815,0,143.55812369020092,143.55812369020092,143.55812369020092,0,109.17783174012773,109.17783174012773,109.17783174012773,0,130.5660844722003
2012-08-15,134.98917084280052,134.98917084280052,134.98917084280052,0,143.24595406873254,143.24595406873254,143.24595406873254,0,109.15330877041171,109.15330877041171,109.15330877041171,0,130.7145076183452
2012-08-16,135.6448347309335,135.6448347309335,135.6448347309335,0,144.41291639958914,144.41291639958914,144.41291639958914,0,110.14842868013189,110.14842868013189,110.14842868013189,0,131.6789694126001
2012-08-17,135.3903233847857,135.3903233847857,135.3903233847857,0,145.07098032971987,145.07098032971987,145.07098032971987,0,110.6356019762716,110.6356019762716,110.6356019762716,0,131.85518468912505
2012-08-20,135.88559240036253,135.88559240036253,135.88559240036253,0,144.6404197712008,144.6404197712008,144.6404197712008,0,110.48782884539226,110.48782884539226,110.48782884539226,0,131.86444873258506
2012-08-21,135.53033389159597,135.53033389159597,135.53033389159597,0,145.1212713357306,145.1212713357306,145.1212713357306,0,111.21376783702878,111.21376783702878,111.21376783702878,0,131.46569796223517
2012-08-22,136.45298978527205,136.45298978527205,136.45298978527205,0,144.4765381255788,144.4765381255788,144.4765381255788,0,110.3701617838512,110.3701617838512,110.3701617838512,0,131.5212912434854
2012-08-23,135.9456310113913,135.9456310113913,135.9456310113913,0,143.59003175737865,143.59003175737865,143.59003175737865,0,110.09094912929034,110.09094912929034,110.09094912929034,0,130.4455075793767
2012-08-24,136.18674448203666,136.18674448203666,136.18674448203666,0,144.96501605696454,144.96501605696454,144.96501605696454,0,110.68287645979703,110.68287645979703,110.68287645979703,0,131.233808220048
2012-08-27,135.57126052353257,135.57126052353257,135.57126052353257,0,145.15478065984865,145.15478065984865,145.15478065984865,0,111.42145474395878,111.42145474395878,111.42145474395878,0,131.26164545287912
2012-08-28,135.87644333295947,135.87644333295947,135.87644333295947,0,147.33454839544888,147.33454839544888,147.33454839544888,0,112.67875598020015,112.67875598020015,112.67875598020015,0,131.1318315780662
2012-08-29,135.72965168583687,135.72965168583687,135.72965168583687,0,147.38612202075683,147.38612202075683,147.38612202075683,0,112.32894246146273,112.32894246146273,112.32894246146273,0,131.233808220048
2012-08-30,134.8551426085259,134.8551426085259,134.8551426085259,0,146.95069326370555,146.95069326370555,146.95069326370555,0,110.55028918820359,110.55028918820359,110.55028918820359,0,130.28791059467403
2012-08-31,135.4219185233325,135.4219185233325,135.4219185233325,0,148.24210471783658,148.24210471783658,148.24210471783658,0,111.46602180525927,111.46602180525927,111.46602180525927,0,130.90926000228038
2012-09-04,134.56446422027778,134.56446422027778,134.56446422027778,0,149.91680929397364,149.91680929397364,149.91680929397364,0,112.72526361888822,112.72526361888822,112.72526361888822,0,130.7886470274959
2012-09-05,134.67661560653605,134.67661560653605,134.67661560653605,0,149.352550567951,149.352550567951,149.352550567951,0,112.78313510648998,112.78313510648998,112.78313510648998,0,130.67737928058344
2012-09-06,136.94872209351587,136.94872209351587,136.94872209351587,0,152.6164708629173,152.6164708629173,152.6164708629173,0,115.01041765266291,115.01041765266291,115.01041765266291,0,133.32969206211294
2012-09-07,137.9878881521763,137.9878881521763,137.9878881521763,0,152.6036984447936,152.6036984447936,152.6036984447936,0,114.34254394518679,114.34254394518679,114.34254394518679,0,133.8490287457766
2012-09-10,136.5247968708835,136.5247968708835,136.5247968708835,0,151.48664449544074,151.48664449544074,151.48664449544074,0,113.87425053339348,113.87425053339348,113.87425053339348,0,133.08853827646575
2012-09-11,137.20964641673083,137.20964641673083,137.20964641673083,0,150.25572895356046,150.25572895356046,150.25572895356046,0,113.63657903424054,113.63657903424054,113.63657903424054,0,133.45958712133785
2012-09-12,138.21435739341374,138.21435739341374,138.21435739341374,0,150.60563115737415,150.60563115737415,150.60563115737415,0,114.2220271975055,114.2220271975055,114.2220271975055,0,133.90468517045838
2012-09-13,140.29539313811998,140.29539313811998,140.29539313811998,0,151.20391382445115,151.20391382445115,151.20391382445115,0,114.95757864475465,114.95757864475465,114.95757864475465,0,135.94495769029265
2012-09-14,141.5340373148923,141.5340373148923,141.5340373148923,0,152.54947525192065,152.54947525192065,152.54947525192065,0,117.10416828835551,117.10416828835551,117.10416828835551,0,136.54771586754745
