date,spy,no_rules,active,total_wealth
2023-05-04,459.7590572720899,832.2632199692484,392.0342043779427,587.2398864715299
2023-05-05,468.270395713607,848.5774343809943,399.71894871543276,594.92463080902
2023-05-08,468.3951310636756,851.4053182602988,401.0510119138249,596.2566940074121
2023-05-09,466.3411291724394,851.6319526030591,401.1577670991039,596.3634491926912
2023-05-10,468.5199746596366,842.8535313516234,397.02272747650926,592.2284095700965
2023-05-11,467.7030068273391,831.48319326696,391.6667759727363,586.8724580663235
2023-05-12,467.09015466624135,830.8788635315714,391.3821089091073,586.5877910026945
2023-05-15,468.7015751852065,833.5725439087515,392.6509560937219,587.856638187309
2023-05-16,465.5694442051509,817.4503936521173,385.0566827952398,580.262364888827
2023-05-17,471.2209622500568,833.0698071821365,392.414144003627,587.6198260972142
2023-05-18,475.76028983198523,840.2828946967327,395.8118395367753,591.0175216303626
2023-05-19,475.0680212677922,843.0700416924828,397.12471379187417,592.3303958854614
2023-05-22,475.26102369403367,835.6527081883148,393.63080901614734,588.8364911097345
2023-05-23,469.9272795074018,844.3147336420866,397.71102087171437,592.9167029653015
2023-05-24,466.5226936160451,852.5197618529578,401.5759660349361,596.7816481285233
2023-05-25,470.5626828960936,841.28587933271,396.28429136972215,591.4899734633093
2023-05-26,476.6568905591631,839.3821457903858,395.3875454284078,590.593227521995
2023-05-30,476.83841892080466,833.5883029199703,392.6583793118539,587.8640614054411
2023-05-31,474.1942604239216,822.2759161697554,387.32972554844486,582.535407642032
2023-06-01,478.69959879562015,831.793321854475,391.81286078237844,587.0185428759656
2023-06-02,485.62214010969456,847.1956304366307,399.0680555881901,594.2737376817772
2023-06-05,484.69158625425104,843.906409499705,397.5186814453815,592.7243635389686
2023-06-06,485.7469476236915,849.3438984419362,400.0799884936015,595.2856705871886
2023-06-07,484.0673682744459,862.6664171756415,406.35550675124045,601.5611888448277
2023-06-08,486.9952753374092,860.7777146842196,405.46584112531195,600.6715232188992
2023-06-09,487.8690722632439,855.8119644733396,403.12674468760815,598.3324267811954
2023-06-12,492.29499423184706,851.2221283510336,400.9647210522253,596.1704031458125
2023-06-13,495.5406390711204,851.4278046547402,401.0616040384589,596.2672861320461
2023-06-14,496.13079567676726,843.78348255302,397.46077720717426,592.6664593007615
2023-06-15,502.2816159415891,850.5336392745011,400.6404110732846,595.8460931668718
2023-06-16,500.570753529425,843.4500535200033,397.3037168174576,593.4664633825573
2023-06-20,497.97371807772254,850.619311221335,400.68076649535385,595.886448588941
2023-06-21,495.422181982814,844.7490082809941,397.9155841738774,593.1212662674645
2023-06-22,497.21051237200936,843.386127300747,397.27360463190905,592.4792867254962
2023-06-23,493.4516376746581,832.2766071724532,392.04051036555745,587.2461924591446
2023-06-26,491.4355218457801,818.2545360528744,385.4354708021149,580.6411528957021
2023-06-27,496.82324465078113,833.9039759716131,392.8070758187704,588.0127579123575
2023-06-28,497.07383389180694,827.1143108868717,389.6088316988541,584.8145137924413
2023-06-29,499.03294021732705,826.4866642928382,389.3131813238062,584.5188634173934
2023-06-30,504.9219858322363,845.4003685839721,398.22240479506365,593.4280868886508
2023-07-03,505.5028693730966,847.1105821643139,399.0279939454654,594.2336760390526
2023-07-05,504.7510655680551,845.3271813197754,398.1879302319669,593.3936123255542
2023-07-06,500.79857505107174,833.2924656913898,392.51902638870536,587.7247084822925
2023-07-07,499.5341547813428,838.334710628724,394.8941553561486,590.0998374497358
2023-07-10,500.79857505107174,838.6408552219889,395.0383635215048,590.244045615092
2023-07-11,503.9878598623419,844.5765895237938,397.8343670196444,593.0400491132316
2023-07-12,508.0430035673336,863.7443005477762,406.8632393291896,602.0689214227768
2023-07-13,512.0752352250896,882.8014061013836,415.84001138182333,611.0456934754105
2023-07-14,511.75627066199854,867.811287736942,408.778977101404,603.9846591949912
2023-07-17,513.5331991505224,879.9641441714191,414.5035306908149,609.7092127844021
2023-07-18,517.3491194331956,890.1386032761478,419.2961682655543,614.5018503591415
2023-07-19,518.4995567781729,887.7701576280249,418.18052157710804,613.3862036706953
2023-07-20,515.0596105619487,874.6250695485435,411.98858130740837,607.1942634009956
2023-07-21,515.0596105619487,861.8730840594444,405.981810413889,601.1874925074762
2023-07-24,517.3605213338673,869.1200461321467,409.3954624198421,604.6011445134293
2023-07-25,518.7729137385777,881.6923474587471,415.31759381951593,610.5232759131031
2023-07-26,518.8525827154222,878.0113460629855,413.5836730852141,608.7893551788013
2023-07-27,515.4126725811622,884.7685324073261,416.76661822657815,611.9723003201653
2023-07-28,520.4587352676213,892.0054849781876,420.1755552974047,615.3812373909918
2023-07-31,521.4496542490888,899.196151102263,423.56268932575153,618.7683714193388
2023-08-01,519.9574846216414,895.47958890646,421.8120178212405,617.0176999148277
